time_s,body,x_m,y_m,vx_m_s,vy_m_s,speed_m_s,radius_from_central_m,kinetic_J,potential_J,total_energy_J,angular_momentum_kg_m2_s
0.0,StarA,-84004931576.32283,6328539175.553909,-307.6394370835143,-21561.27456251638,21563.469173198107,0.0,8.998620008132596e+38,-1.91434561229159e+39,-1.0144836114783305e+39,6.942480172848457e+45
0.0,StarB,65592939123.67718,6328539175.553909,-307.6394370835143,20561.27745040678,20563.578784245103,149597870700.0,8.998620008132596e+38,-1.91434561229159e+39,-1.0144836114783305e+39,6.942480172848457e+45
0.0,Planet,-9205996226.322824,208285664620.5539,-18307.639437083515,-499.9985560548019,18314.465875758226,215363788152.74622,8.998620008132596e+38,-1.91434561229159e+39,-1.0144836114783305e+39,6.942480172848457e+45
0.0,Perturber,230150596893.6772,-158229118594.4461,7692.360562916486,12500.001443945199,14677.276556927885,354644778333.2125,8.998620008132596e+38,-1.91434561229159e+39,-1.0144836114783305e+39,6.942480172848457e+45
86400.0,StarA,-84009098201.82312,4465677703.295119,211.1733711391224,-21558.406277550865,21559.44051733771,0.0,8.996078327887914e+38,-1.9140914438206498e+39,-1.0144836110318584e+39,6.942480172848455e+45
86400.0,StarB,65544741528.49812,8104339411.417919,-808.0366598540797,20543.12064186719,20559.00603020433,149598097705.51486,8.996078327887914e+38,-1.9140914438206498e+39,-1.0144836110318584e+39,6.942480172848455e+45
86400.0,Planet,-10787571954.756643,208222260789.39716,-18301.831494376955,-967.6915821226285,18327.396515781482,216513595547.4239,8.996078327887914e+38,-1.9140914438206498e+39,-1.0144836110318584e+39,6.942480172848455e+45
86400.0,Perturber,230805268405.3637,-157140848378.81143,7462.165308674083,12691.143105523766,14722.39873182568,353871098981.8338,8.996078327887914e+38,-1.9140914438206498e+39,-1.0144836110318584e+39,6.942480172848455e+45
172800.0,StarA,-83968447947.3897,2603603982.780598,729.736922823324,-21543.041329786447,21555.397136527514,0.0,8.993581882064008e+38,-1.913841798786877e+39,-1.0144836105804762e+39,6.942480172848454e+45
172800.0,StarB,65453316316.87168,9878037018.398409,-1308.2266372533863,20512.607306018257,20554.28216760033,149598733322.96027,8.993581882064008e+38,-1.913841798786877e+39,-1.0144836105804762e+39,6.942480172848454e+45
