time_s,body,x_m,y_m,vx_m_s,vy_m_s,speed_m_s,radius_from_central_m,kinetic_J,potential_J,total_energy_J,angular_momentum_kg_m2_s
0.0,Sun,-7.5160905381098475,-741858880.5213273,12.456342747632757,-2.222135641377416e-06,12.456342747632956,0.0,1.6176250567301605e+35,-3.2383373092367157e+35,-1.6207122525065552e+35,1.926807657123336e+43
0.0,Probe,149597870692.48392,-741858880.5213273,12.456342747632757,44228.67961134719,44228.68136541799,149597870700.0,1.6176250567301605e+35,-3.2383373092367157e+35,-1.6207122525065552e+35,1.926807657123336e+43
0.0,Jupiter,-7.5160905381098475,777167068759.4786,-13049.19255511,-2.222135641377416e-06,13049.19255511,777908927640.0,1.6176250567301605e+35,-3.2383373092367157e+35,-1.6207122525065552e+35,1.926807657123336e+43
86400.0,Sun,1076220.1310520093,-741858099.316596,12.456329653182737,0.01808566176570847,12.456342782691918,0.0,1.6176250598255592e+35,-3.2383373123321133e+35,-1.6207122525065541e+35,1.9268076571233363e+43
86400.0,Probe,149576814638.37436,3079316576.3476152,-499.8034900647252,44222.154667425384,44224.978993306184,149624539762.91687,1.6176250598255592e+35,-3.2383373123321133e+35,-1.6207122525065541e+35,1.9268076571233363e+43
86400.0,Jupiter,-1127449859.4271483,777166250172.6118,-13049.178810452355,-18.948764345289867,13049.19256823306,777908926858.6154,1.6176250598255592e+35,-3.2383373123321133e+35,-1.6207122525065541e+35,1.9268076571233363e+43
172800.0,Sun,2152445.5132473293,-741855755.3200198,12.456290318302267,0.036173508329149194,12.456342842766317,0.0,1.6176250691108758e+35,-3.2383373216174244e+35,-1.6207122525065486e+35,1.926807657123336e+43
172800.0,Probe,149511524214.31927,6899363684.454542,-1011.3647316374767,44202.56847965908,44214.13709232999,149704510557.3972,1.6176250691108758e+35,-3.2383373216174244e+35,-1.6207122525065486e+35,1.926807657123336e+43
172800.0,Jupiter,-2254897336.262184,777163794414.1144,-13049.13757650848,-37.897486665355515,13049.192607596116,777908924514.4626,1.6176250691108758e+35,-3.2383373216174244e+35,-1.6207122525065486e+35,1.926807657123336e+43
259200.0,Sun,3228666.3633238557,-741851848.5364662,12.456224743038629,0.054261279556550086,12.456342927823835,0.0,1.6176250845877432e+35,-3.2383373370942847e+35,-1.6207122525065416e+35,1.926807657123336e+43
259200.0,Probe,149402089825.3367,10717156566.183372,-1521.532975978088,44169.98952735483,44196.188041997746,149837674132.53192,1.6176250845877432e+35,-3.2383373370942847e+35,-1.6207122525065416e+35,1.926807657123336e+43
259200.0,Jupiter,-3382340062.950151,777159701489.1448,-13049.068853364486,-56.84612937931853,13049.19267319908,777908920607.5468,1.6176250845877432e+35,-3.2383373370942847e+35,-1.6207122525065416e+35,1.926807657123336e+43
345600.0,Sun,4304880.414116489,-741846378.9740858,12.456132927494334,0.07234893744767881,12.456343037832507,0.0,1.6176251062588685e+35,-3.2383373587654e+35,-1.6207122525065316e+35,1.926807657123336e+43
345600.0,Probe,149248661539.63156,14531577207.328402,-2029.6222663325498,44124.53119867867,44171.185404595606,150023849646.21567,1.6176251062588685e+35,-3.2383373587654e+35,-1.6207122525065316e+35,1.926807657123336e+43
345600.0,Jupiter,-4509775664.429923,777153971406.3009,-13048.972641163906,-75.79465268432921,13049.192765041815,777908915137.8761,1.6176251062588685e+35,-3.2383373587654e+35,-1.6207122525065316e+35,1.926807657123336e+43
432000.0,Sun,5381085.398471382,-741839346.6443127,12.456014871827326,0.09043644400033514,12.456343172760894,0.0,1.6176251341280038e+35,-3.2383373866345238e+35,-1.62071225250652e+35,1.926807657123336e+43
432000.0,Probe,149051448181.30698,18341519292.965034,-2534.9591732454996,44066.3506920049,44139.20345136262,150262785458.4295,1.6176251341280038e+35,-3.2383373866345238e+35,-1.62071225250652e+35,1.926807657123336e+43
432000.0,Jupiter,-5637201765.655255,777146604177.6188,-13048.848940107677,-94.74301677778429,13049.192883124128,777908908105.4617,1.6176251341280038e+35,-3.2383373866345238e+35,-1.62071225250652e+35,1.926807657123336e+43
518400.0,Sun,6457279.049250739,-741830751.5618643,12.455870576251183,0.10852376121050528,12.456343332578275,0.0,1.6176251681999097e+35,-3.238337420706414e+35,-1.6207122525065045e+35,1.926807657123336e+43
518400.0,Probe,148810716077.74948,22145891930.4909,-3036.88670085446,43995.64750710278,44100.33651122252,150554160640.61832,1.6176251681999097e+35,-3.238337420706414e+35,-1.6207122525065045e+35,1.926807657123336e+43
518400.0,Jupiter,-6764615991.599745,777137599818.574,-13048.697750454152,-113.69118185740923,13049.193027445772,777908899510.3188,1.6176251681999097e+35,-3.238337420706414e+35,-1.6207122525065045e+35,1.926807657123336e+43
604800.0,Sun,7533459.099337618,-741820593.7447413,12.45570004103529,0.1266108510725353,12.456343517254805,0.0,1.6176252084803108e+35,-3.2383374609867987e+35,-1.6207122525064879e+35,1.9268076571233355e+43
604800.0,Probe,148526787478.75253,25943623225.563873,-3534.7679707538723,43912.66155435215,44054.69815347898,150897586880.59842,1.6176252084803108e+35,-3.2383374609867987e+35,-1.6207122525064879e+35,1.9268076571233355e+43
